lat,lng,id
37.47687201360846,139.9636451607207,e4da0179
37.483686654734406,139.95752791468104,bd20520d
37.48229040849732,139.95531777461463,a19cc450
37.527121894361386,139.95322784080437,69a1b429
37.526818453697544,139.95328872883164,501de257
37.5252329467919,139.95625337235154,608e5b88
37.52472241221126,139.95621045701046,a4a500ed
37.521917281663896,139.9530419649639,3400d8e3
37.52169604060899,139.95439379820837,f74b903c
37.52034851104754,139.96185737235157,de75f01d
37.55293774671662,139.79743988058786,21959fdb
37.55761574567307,139.79795486468103,463c822d
37.462668836454,139.80216063557975,544cf04b
37.46803469569934,139.80863332869544,2dc6dd80
37.469865484333454,139.80896592261314,af8f848c
37.470623332552826,139.80952382208795,ff709a3c
37.4711427521755,139.8095667374322,bb9f866e
37.47170474311175,139.80980277182536,83df5b5f
37.4721986104463,139.810124636907,488594c3
37.48397849649269,139.8156682512381,07256c54
37.55293774671664,139.79743988058783,623ef08b
37.4956,139.8628,d2c7c7dc
